Symbol
AAPL
MSFT
GOOGL
AMZN
META
BRK.B
JNJ
JPM
V
PG
TSLA
NVDA
UNH
HD
DIS
MA
BAC
XOM
VZ
PFE
ADBE
CMCSA
NFLX
KO
PEP
CSCO
T
MRK
ABT
CVX
INTC
WMT
CRM
ABBV
MCD
NKE
LLY
TMO
COST
ACN
DHR
MDT
TXN
NEE
LIN
AMGN
HON
UNP
AVGO
ORCL
LOW
PM
IBM
BMY
BA
QCOM
SBUX
RTX
INTU
GE
CAT
GILD
MMM
GS
ISRG
BLK
NOW
LMT
FIS
CVS
ANTM
MO
SPGI
BKNG
DE
ADI
AMAT
SYK
AXP
CI
C
MDLZ
BDX
CHTR
ZTS
PLD
MU
PNC
DUK
USB
SO
TGT
MMC
CB
ADI
NSC
SCHW
TJX
CL
EW
VRTX
ADP
HUM
ICE
REGN
FISV
SHW
ITW
FDX
ETN
CSX
APD
GM
PGR
AON
ADSK
COF
EOG
MAR
KLAC
PSA
BIIB
SLB
MS
HCA
EL
EMR
ROST
CDNS
MPC
ILMN
TFC
GPN
IDXX
ECL
CTSH
ROP
MTD
VLO
PCAR
WELL
BAX
SPG
AZO
STZ
F
DXCM
TRV
OXY
PH
WMB
CME
PXD
AIG
KMB
EXC
ADM
DLR
WBA
AEP
SYY
SBAC
HPQ
TSCO
D
ALGN
XEL
PAYX
HLT
CSGP
VRSK
RSG
IQV
ALL
ORLY
ED
HES
PPG
STT
YUM
AME
PEG
CTVA
ZBH
VMC
TT
FITB
MSI
A
AVB
KEYS
LYB
KMI
OTIS
ANET
DLTR
NEM
KR
FAST
FE
EXPE
SBRA
EFX
DVN
HOLX
MKC
WDC
CMS
HIG
AEE
NTRS
NTAP
FLT
CBRE
TSN
GPC
CLX
BKR
ZION
RF
LNC
LH
PKI
HPE
UAL
CAG
NDAQ
VTRS
BBY
LUV
LB
MRO
ALLE
KEY
NWL
APA
NOV
FFIV
DVA
FMC
MOS
INCY
QRVO
UHS
JNPR
AIZ
NRG
