Date,Open,High,Low,Close,Volume
2019-02-01 00:00:00-05:00,66.01300868405579,66.01300868405579,64.49135562226353,64.56295776367188,3831600
2019-02-04 00:00:00-05:00,64.69721736487975,65.0552553574521,64.26757723699829,64.95679473876953,2601400
2019-02-05 00:00:00-05:00,64.91204323370718,65.07316000332258,64.44659858204453,64.4913558959961,2676800
2019-02-06 00:00:00-05:00,64.27651950693627,64.72406526443673,64.17805889396566,64.24071502685547,2052000
2019-02-07 00:00:00-05:00,63.9274127666576,64.14223957457028,63.256094357189475,63.64993667602539,2204700
2019-02-08 00:00:00-05:00,63.408290179107674,64.00800678383729,63.16661843466996,63.999053955078125,2571100
2019-02-11 00:00:00-05:00,64.21385627559685,64.4823864320153,64.08854402366973,64.20491027832031,1760800
2019-02-12 00:00:00-05:00,64.50926033559755,64.93890736828116,64.38394804044148,64.87625122070312,3458700
2019-02-13 00:00:00-05:00,65.05524799279327,65.30587251051963,64.72406169208001,65.04629516601562,2421100
2019-02-14 00:00:00-05:00,64.89414215444657,65.3058834782905,64.78672870209321,64.84043884277344,2200700
2019-02-15 00:00:00-05:00,65.35065608984192,65.80714800394645,65.26114827309644,65.72659301757812,2372300
2019-02-19 00:00:00-05:00,65.49385228934047,65.99510824097632,65.49385228934047,65.76238250732422,1999500
2019-02-20 00:00:00-05:00,65.78923650166776,66.43370358452935,65.56546358839678,66.35314178466797,2816700
2019-02-21 00:00:00-05:00,66.2725865566455,66.58586726820772,66.06671247247185,66.26363372802734,2388300
2019-02-22 00:00:00-05:00,66.37103867535886,66.97970119222107,66.37103867535886,66.8454360961914,2136500
2019-02-25 00:00:00-05:00,67.10503311743,67.78530479530987,66.92601066061506,66.94391632080078,3457200
2019-02-26 00:00:00-05:00,66.87230049850685,67.1497767419297,66.63062874278496,67.05132293701172,3350500
2019-02-27 00:00:00-05:00,66.72905931178954,67.70470555328251,66.72905931178954,67.19450378417969,2997900
2019-02-28 00:00:00-05:00,67.05094572018218,67.3022061945617,66.40484344530088,67.05992126464844,3375100
2019-03-01 00:00:00-05:00,67.44579955001055,68.28931602925407,67.40092866601076,68.05599975585938,2420500
2019-03-04 00:00:00-05:00,68.36111834659181,68.42393348708714,67.04199354985309,67.72399139404297,3723900
2019-03-05 00:00:00-05:00,67.64320730860312,68.08292002237545,67.44579323795222,67.93933868408203,2162600
2019-03-06 00:00:00-05:00,68.10085849369707,68.18162470122446,66.80865394393447,67.05992126464844,2382200
2019-03-07 00:00:00-05:00,67.01504613803135,67.26630659647397,66.7548101356918,67.05094146728516,2916900
2019-03-08 00:00:00-05:00,66.700999245414,66.92534001496294,65.86645130883842,66.52152252197266,2818400
2019-03-11 00:00:00-04:00,66.88943234739139,67.4278487258503,66.75482654119274,67.40990447998047,2015800
2019-03-12 00:00:00-04:00,67.61629838649739,67.9393496032431,67.32016696342447,67.91242980957031,3579400
2019-03-13 00:00:00-04:00,68.12777944059539,68.7918328157143,67.87651896193832,68.54056549072266,2485500
2019-03-14 00:00:00-04:00,68.45083011567978,68.72901037995811,67.8944695871231,68.6572265625,1993200
2019-03-15 00:00:00-04:00,68.4598112399374,69.21359273219225,68.4598112399374,69.04309844970703,5042400
2019-03-18 00:00:00-04:00,69.22257940329445,69.22257940329445,68.64826764650769,69.05207824707031,1862200
2019-03-19 00:00:00-04:00,69.23153833195947,69.76097907433832,68.91746273509621,69.62637329101562,2064000
2019-03-20 00:00:00-04:00,69.70715007619398,69.76098965915831,68.98028832083321,69.25846862792969,2728800
2019-03-21 00:00:00-04:00,69.01619169796386,70.40710024180903,69.01619169796386,70.39812469482422,2115000
2019-03-22 00:00:00-04:00,70.08404191559623,70.46093269475023,69.24949413527773,69.31230926513672,3152200
